easting_kkj,northing_kkj,easting_etrs_exact,northing_etrs_exact,easting_etrs_interpolated,northing_etrs_interpolated,easting_interpolated_minus_exact,northing_interpolated_minus_exact
3226433.93669373,6691296.71455165,226375.590344413,6688487.34377278,226375.58308937,6688487.34366797,-0.00725504249567166,-0.000104809179902077
3223937.43483544,6683632.83770399,223880.143112588,6680826.56555543,223880.132417894,6680826.56676827,-0.0106946942978539,0.0012128408998251
3214319.69041891,6673424.51172371,214266.372039815,6670622.33122818,214266.353556802,6670622.33390737,-0.0184830135549419,0.00267918687313795
3215448.67865373,6692376.96378571,215394.811514545,6689567.09185171,215394.797365732,6689567.0931628,-0.0141488129156642,0.00131109170615673
3224779.03503761,6676866.74872976,224721.431152371,6674063.22951992,224721.421074357,6674063.23129184,-0.0100780138745904,0.00177192129194736
3219859.44655946,6672708.50138246,219803.870153622,6669906.64317105,219803.856903863,6669906.64528794,-0.0132497587474063,0.00211689714342356
3223028.59133604,6665552.18591344,222971.754465945,6662753.25235767,222971.746629523,6662753.2542847,-0.0078364223591052,0.00192703772336245
3216930.22960144,6673209.23342599,216875.846589677,6670407.15519663,216875.830617113,6670407.15755745,-0.0159725637349766,0.0023608161136508
3240408.64060773,6688879.84861314,240344.600945463,6686071.53885778,240344.599011378,6686071.53963224,-0.00193408492486924,0.000774465501308441
3227203.12825379,6691003.40194458,227144.469278226,6688194.15466832,227144.462343186,6688194.15456867,-0.00693503965158015,-9.9649652838707e-05
3225213.97593076,6712583.7201972,225156.028267259,6709765.61739315,225156.027902954,6709765.61649068,-0.000364304083632305,-0.000902471132576466
3211873.87901321,6711986.76893656,211821.380144273,6709168.90864995,211821.380151621,6709168.90666576,7.34816421754658e-06,-0.00198418740183115
3230135.56746262,6708339.16628993,230075.630578623,6705522.82966568,230075.629172934,6705522.82851513,-0.00140568838105537,-0.00115055032074451
3221029.68973874,6714461.6229231,220973.441436523,6711642.73787396,220973.4419179,6711642.73702938,0.000481376773677766,-0.000844581983983517
3218050.30423911,6714947.66012942,217995.269958761,6712128.57182603,217995.270761654,6712128.5709473,0.000802892347564921,-0.000878727063536644
3234475.59250865,6699523.28111375,234413.925340724,6696710.61035931,234413.925051151,6696710.60772308,-0.000289572693873197,-0.00263623148202896
3214879.10387214,6714051.16963387,214825.368427943,6711232.4526011,214825.369046527,6711232.45134807,0.000618583697360009,-0.00125302653759718
3225808.58807306,6711571.4543105,225750.402428698,6708753.77247273,225750.401868593,6708753.77135903,-0.000560104963369668,-0.0011137006804347
3219950.29034465,6712990.87912005,219894.489621012,6710172.60488838,219894.489905774,6710172.6034667,0.000284762063529342,-0.00142167415469885
3231487.3737761,6700780.84193807,231426.92060465,6697967.64726555,231426.920474847,6697967.64399254,-0.000129802530864254,-0.00327301304787397
3262154.44565696,6683323.80209313,262081.576756364,6680517.85245942,262081.577376491,6680517.85130816,0.000620127219008282,-0.00115125998854637
3259341.22472408,6679348.96645291,259269.508582847,6676544.6133079,259269.509467978,6676544.61247964,0.000885131099494174,-0.000828253105282784
3247518.71076856,6679761.28689666,247451.79231194,6676956.70644284,247451.790344041,6676956.70657085,-0.00196789880283177,0.000128006562590599
3244891.02113246,6685051.19721527,244825.154813197,6682244.4596222,244825.152258616,6682244.46009917,-0.00255458088940941,0.000476970337331295
3266564.17917723,6683965.74229921,266489.518592148,6681159.55497648,266489.519031481,6681159.55396706,0.000439332448877394,-0.00100941862910986
3259899.319526,6681167.60509606,259827.371882534,6678362.51778344,259827.372569419,6678362.51681801,0.000686884828610346,-0.000965423882007599
3263013.28417767,6682882.29576966,262940.06787701,6680076.52943227,262940.068539531,6680076.52835389,0.000662520935293287,-0.00107838213443756
3260222.66224293,6675472.59745642,260150.59891365,6672669.81971376,260150.600841196,6672669.81910885,0.001927546429215,-0.000604904256761074
3246367.31886427,6680562.12792837,246300.865574628,6677757.21706646,246300.863171501,6677757.21738224,-0.00240312673849985,0.000315782614052296
3245224.51482364,6685446.40481833,245158.512057975,6682639.50876445,245158.509691715,6682639.5091476,-0.00236625917023048,0.000383155420422554
3307266.54480984,6676923.92871957,307175.347349653,6674120.83509973,307175.347121169,6674120.83485182,-0.000228483288083225,-0.000247904099524021
3306119.80595967,6693608.85402309,306029.015197552,6690798.94992442,306029.01559125,6690798.94951691,0.000393697991967201,-0.000407510437071323
