easting_kkj,northing_kkj,easting_etrs_exact,northing_etrs_exact,easting_etrs_interpolated,northing_etrs_interpolated,easting_interpolated_minus_exact,northing_interpolated_minus_exact
3209571.51801688,6713686.10464877,209519.951069248,6710867.53712115,209519.951117005,6710867.53672855,4.77574940305203e-05,-0.000392608344554901
3227402.59305121,6709588.14408256,227343.766002693,6706771.28721442,227343.765564752,6706771.28690623,-0.000437940878327936,-0.000308185815811157
3210805.88229013,6712337.24308789,210753.81777241,6709519.23669016,210753.817767113,6709519.23613799,-5.29689714312553e-06,-0.000552165322005749
3220451.72997077,6714749.77997508,220395.716259545,6711930.77492025,220395.716475353,6711930.7746834,0.000215808628126979,-0.00023685023188591
3224233.38156538,6707895.74697972,224175.856287327,6705079.59217718,224175.855939316,6705079.59166363,-0.000348010507877916,-0.000513550825417042
3247088.78903596,6670123.41386774,247022.071419994,6667322.73700828,247022.071126974,6667322.7371837,-0.000293020100798458,0.000175426714122295
3262730.68867078,6685436.46347066,262657.58009816,6682629.66060797,262657.580181904,6682629.66028099,8.37443512864411e-05,-0.000326977111399174
3255569.74733587,6684171.34492143,255499.548877979,6681365.01828065,255499.548573297,6681365.01847392,-0.000304682820569724,0.00019326526671648
3251528.12584063,6678970.73114755,251459.582104566,6676166.49149014,251459.581567883,6676166.49178906,-0.000536683684913442,0.000298917293548584
3263220.047263,6678673.57798578,263146.75853574,6675869.51830008,263146.758718722,6675869.51814115,0.000182982068508863,-0.000158927403390408
3258589.41018576,6681609.26821904,258517.993033592,6678803.99524916,258517.992298486,6678803.99537662,-0.000735105888452381,0.000127458013594151
3252583.51630706,6685779.6391389,252514.525579349,6682972.64552142,252514.525932266,6682972.6453474,0.000352916569681838,-0.000174012966454029
3256045.12466083,6679847.29465493,255974.74505975,6677042.72277286,255974.74446018,6677042.72296946,-0.000599569553742185,0.000196591019630432
3249455.45131239,6679517.73736437,249387.747389585,6676713.26547411,249387.747096565,6676713.26560714,-0.000293020100798458,0.000133030116558075
3252918.86077687,6687764.15726572,252849.728509047,6684956.36112284,252849.728697052,6684956.3608728,0.000188005506061018,-0.000250040553510189
3308123.56506129,6681091.51629725,308032.003726307,6678286.72735698,308032.003290748,6678286.72741342,-0.000435559311881661,5.64428046345711e-05
3297422.55813721,6685175.37307601,297335.338099121,6682368.86421615,297335.337811736,6682368.86416409,-0.000287384958937764,-5.20609319210052e-05
3307618.69476145,6678659.32615115,307527.347702359,6675855.52657023,307527.347322198,6675855.52657995,-0.0003801608690992,9.7295269370079e-06
3304459.39584766,6684631.60880494,304369.313316809,6681825.35747659,304369.313415439,6681825.35742686,9.86302038654685e-05,-4.97335568070412e-05
3303212.02691213,6680829.80966549,303122.465835843,6678025.10249319,303122.465667082,6678025.10232529,-0.000168760481756181,-0.000167903490364552
3294664.63111714,6688342.14486829,294578.522328276,6685534.33047884,294578.522029461,6685534.33044152,-0.00029881508089602,-3.73171642422676e-05
3293615.45100561,6685029.93588167,293529.781232032,6682223.46698498,293529.781023782,6682223.46681638,-0.000208250130526721,-0.000168603844940662
3299026.60423068,6683535.08126913,298938.737149676,6680729.24952619,298938.737181822,6680729.24941351,3.21458792313933e-05,-0.000112686306238174
3293951.932386,6689701.09937367,293866.108816975,6686892.72713627,293866.108767467,6686892.72703601,-4.95075946673751e-05,-0.000100256875157356
3286461.74357077,6686209.47334245,286378.981573482,6683402.48703144,286378.981717593,6683402.48666817,0.00014411099255085,-0.00036326702684164
3242545.65516707,6684948.32451994,242480.751484035,6682141.61849116,242480.751067903,6682141.61857447,-0.000416132243117318,8.33086669445038e-05
3239807.41840374,6664068.66115639,239743.702974519,6661270.40621103,239743.703377978,6661270.40621643,0.000403458863729611,5.40260225534439e-06
3229074.35780814,6662331.16339418,229015.058821279,6659533.56759027,229015.058545829,6659533.56767994,-0.00027545026387088,8.96696001291275e-05
3241895.6207105,6688289.0729009,241830.974129737,6685481.01012843,241830.973764537,6685481.01026555,-0.000365199375664815,0.000137120485305786
3242923.39827405,6678973.36592912,242858.35732882,6676169.08315287,242858.357440104,6676169.08315539,0.000111284112790599,2.52295285463333e-06
3235434.73258198,6667002.26637827,235372.805463984,6664202.80407302,235372.805397475,6664202.80399864,-6.6509353928268e-05,-7.43754208087921e-05
3239832.32110121,6664357.28649344,239768.594568253,6661558.91467205,239768.594942481,6661558.91466562,0.000374228868167847,-6.43264502286911e-06
