easting_kkj,northing_kkj,easting_etrs_exact,northing_etrs_exact,easting_etrs_interpolated,northing_etrs_interpolated,easting_interpolated_minus_exact,northing_interpolated_minus_exact
3239871.29464014,6691246.93100463,239807.463345617,6688437.6567677,239807.463686404,6688437.65662382,0.000340787461027503,-0.000143881887197495
3222471.04532506,6658768.61914135,222414.467509979,6655972.43767632,222414.466416852,6655972.43810052,-0.00109312633867376,0.000424202531576157
3226988.22575156,6682744.74058342,226929.692804354,6679938.84647804,226929.692562895,6679938.84654301,-0.00024145923089236,6.49737194180489e-05
3230796.63231132,6679296.28164698,230736.560753611,6676491.80982105,230736.560660858,6676491.80979424,-9.27531509660184e-05,-2.68090516328812e-05
3208627.25951728,6698768.88950679,208576.147258708,6695956.38264245,208576.14708961,6695956.38277239,-0.000169098435435444,0.000129938125610352
3213922.40739849,6693309.10264844,213869.158965175,6690498.84344195,213869.158924886,6690498.84343032,-4.02884325012565e-05,-1.1625699698925e-05
3215708.51984158,6698256.17630838,215654.519366,6695443.91791113,215654.51949112,6695443.91780466,0.000125119986478239,-0.000106466934084892
3226468.92680589,6690317.32577108,226410.570715979,6687508.35298585,226410.57055215,6687508.35294544,-0.000163828983204439,-4.0409155189991e-05
3213571.47662337,6697632.75644102,213518.351387716,6694820.73911804,213518.351431508,6694820.73901275,4.37917187809944e-05,-0.000105285085737705
3223668.82128086,6688853.96402804,223611.614990936,6686045.56970726,223611.615132815,6686045.56954756,0.000141878670547158,-0.000159701332449913
3233351.16088246,6705844.27180132,233289.923002156,6703028.97345015,233289.922816849,6703028.97330755,-0.000185307231731713,-0.0001425975933671
3222634.28503988,6707120.57433126,222577.416228488,6704304.74103573,222577.416074873,6704304.74029348,-0.000153614848386496,-0.000742241740226746
3226776.3395735,6708203.39718008,226717.774705689,6705387.11557721,226717.774329103,6705387.11516607,-0.000376585405319929,-0.000411138869822025
3216730.04830782,6712548.50069366,216675.564303714,6709730.40897432,216675.564330915,6709730.4086261,2.72007891908288e-05,-0.000348219648003578
3210908.20039088,6712860.43171452,210856.091640039,6710042.20791235,210856.091655587,6710042.20742959,1.55480811372399e-05,-0.000482757575809956
3235999.60963422,6701372.69017899,235937.311593842,6698559.2514127,235937.311352627,6698559.25115083,-0.000241215049754828,-0.000261870212852955
3236078.79040745,6702195.87587499,236016.456167518,6699382.09500999,236016.455916631,6699382.09483216,-0.000250886427238584,-0.000177834182977676
3216812.64666074,6709990.84474152,216758.14097519,6707173.81606798,216758.141030749,6707173.81542874,5.55592414457351e-05,-0.000639238394796848
3229558.00506564,6709937.46596041,229498.296443688,6707120.46481007,229498.295968982,6707120.46457027,-0.00047470661229454,-0.000239803455770016
3228283.73063678,6703973.18618125,228224.570300198,6701158.66336708,228224.570446195,6701158.66261558,0.000145997677464038,-0.00075149443000555
3249373.62973808,6688002.73076297,249305.935843516,6685194.81988072,249305.935825625,6685194.81967112,-1.7891637980938e-05,-0.000209595076739788
3250673.18266164,6690089.61493083,250604.955570753,6687280.86494986,250604.95567651,6687280.86459913,0.000105756509583443,-0.000350730493664742
3254511.42872093,6686371.23359651,254441.653828545,6683564.01005241,254441.654155819,6683564.00990767,0.000327273533912376,-0.000144738703966141
3245683.91501836,6679428.51201003,245617.742222763,6676624.05706949,245617.742009366,6676624.0571216,-0.000213396939216182,5.2107498049736e-05
3252399.62647141,6674016.95169133,252330.742524534,6671214.72401027,252330.74236813,6671214.72410235,-0.000156403286382556,9.20770689845085e-05
3245939.32863377,6672181.30729233,245873.071966147,6669379.79060944,245873.071356011,6669379.79077054,-0.000610135990427807,0.000161102041602135
3258333.88383542,6683110.46941295,258262.56630081,6680304.58677423,258262.565633485,6680304.58690148,-0.000667325191898271,0.000127250328660011
3247241.71133648,6691124.87248675,247174.874266501,6688315.68548662,247174.874201727,6688315.68527567,-6.4774154452607e-05,-0.000210950151085854
3265069.21779328,6684785.677069,264995.16177939,6681979.14985051,264995.161928652,6681979.14945386,0.000149261846672744,-0.000396656803786755
3256814.99173183,6685924.53120089,256744.283033464,6683117.5004171,256744.28287722,6683117.50052164,-0.000156243855599314,0.000104532577097416
3293984.35026062,6684228.72048805,293898.533207,6681422.58022786,293898.53299755,6681422.58006913,-0.000209449790418148,-0.000158725306391716
3304402.18084971,6685891.53767904,304312.117070805,6683084.77222029,304312.117118478,6683084.77210301,4.76726563647389e-05,-0.000117285177111626
3295163.25035254,6688770.83767738,295076.937049003,6685962.85098757,295076.936694446,6685962.85099208,-0.000354557298123837,4.51132655143738e-06
3299884.23686253,6691819.84249108,299795.990827338,6689010.63631475,299795.990945612,6689010.63603931,0.000118273368570954,-0.000275441445410252
3310422.43497481,6697441.64922059,310329.878956571,6694630.20385399,310329.878943784,6694630.20383811,-1.27872335724533e-05,-1.58781185746193e-05
3293895.15994329,6688525.2738253,293809.363719688,6685717.38083888,293809.363558468,6685717.38073992,-0.000161220144946128,-9.89604741334915e-05
3298445.76500852,6688704.48215065,298358.115746667,6685896.53920717,298358.115360289,6685896.53916667,-0.000386377680115402,-4.05041500926018e-05
3290757.90564359,6683419.76088798,290673.404877016,6680613.93414818,290673.404961106,6680613.93371636,8.40898719616234e-05,-0.000431818887591362
3299131.87589133,6690852.30128132,299043.939601165,6688043.48587536,299043.939506171,6688043.48568561,-9.4994786195457e-05,-0.000189755111932755
3299668.93121584,6686469.71300555,299580.792095322,6683662.68769006,299580.791792456,6683662.68763359,-0.000302866101264954,-5.64726069569588e-05
3229214.98965177,6659455.15441929,229155.641524412,6656658.72485986,229155.641244914,6656658.72506871,-0.000279498170129955,0.000208846293389797
3236040.72432247,6668455.26858665,235978.54377193,6665655.21992053,235978.543845123,6665655.21974804,7.31924083083868e-05,-0.000172490254044533
3244483.54625651,6681363.20075423,244417.856906976,6678557.95592316,244417.856788338,6678557.95593781,-0.000118638010462746,1.4645978808403e-05
3242556.98621979,6683676.2598096,242492.081709313,6680870.06939954,242492.081408045,6680870.06944092,-0.000301267980830744,4.1385181248188e-05
3229366.45108398,6666154.81021888,229307.020537821,6663355.66590752,229307.01983394,6663355.66624709,-0.000703881058143452,0.000339571386575699
3243074.63435023,6678356.85713156,243009.533104041,6675552.82486301,243009.533081504,6675552.82488219,-2.25371331907809e-05,1.91777944564819e-05
3240862.66255358,6667395.04361628,240798.50341248,6664595.44491068,240798.503649257,6664595.4447453,0.000236777181271464,-0.000165383331477642
3228598.22394806,6661051.53819262,228539.12450113,6658254.45902473,228539.123926663,6658254.45933869,-0.000574466859688982,0.000313960015773773
3222956.45754668,6653174.97235108,222899.700537957,6650381.06188462,222899.700727416,6650381.06197346,0.000189459591638297,8.88435170054436e-05
3237930.21364846,6668478.45859388,237867.256461421,6665678.40846325,237867.256660901,6665678.40823018,0.000199479894945398,-0.000233069993555546
3286686.21653188,6666058.56053245,286603.441583181,6663259.71334285,286603.44159342,6663259.71317611,1.02389603853226e-05,-0.000166734680533409
3289489.01639224,6682992.39602013,289405.033986041,6680186.73299785,289405.034130723,6680186.73270635,0.000144682126119733,-0.000291501171886921
3304490.66014742,6672633.9341394,304400.609478898,6669832.55714809,304400.609761298,6669832.55707928,0.000282399414572865,-6.88163563609123e-05
3284881.03787056,6659482.27093838,284799.023685606,6656686.0656847,284799.023556104,6656686.06570781,-0.000129502208437771,2.31126323342323e-05
3289624.98298635,6675620.30392213,289540.974010974,6672817.61762477,289540.974193672,6672817.61765456,0.000182697258424014,2.97883525490761e-05
3288714.80298999,6671894.63351184,288631.179196503,6669093.44473842,288631.179582035,6669093.44459611,0.000385532272048295,-0.000142307952046394
3283166.34287211,6674584.97852616,283084.967922987,6671782.66502465,283084.96763258,6671782.6650985,-0.000290407158900052,7.3850154876709e-05
3297153.56267108,6680362.28677602,297066.469507147,6677557.73894954,297066.469541954,6677557.73877583,3.48069006577134e-05,-0.000173711217939854
3289697.62041296,6668875.7157072,289613.608205113,6666075.75239786,289613.608420261,6666075.75213521,0.000215148611459881,-0.000262646935880184
3286364.18665542,6675176.41871911,286281.507222237,6672373.8888192,286281.507296278,6672373.88883301,7.40409013815224e-05,1.38115137815475e-05
3323351.55040047,6682476.48590927,323253.817148115,6679671.21939231,323253.816874647,6679671.21916344,-0.000273468380328268,-0.00022886972874403
3324329.64171218,6686830.69575864,324231.495264114,6684023.65614915,324231.495624494,6684023.6559184,0.00036038039252162,-0.000230749137699604
3333573.95415824,6698401.62723011,333472.019035502,6695589.91022082,333472.01960101,6695589.90979263,0.000565507914870977,-0.000428197905421257
3337704.63910524,6696501.99253634,337601.038934206,6693691.07270249,337601.039262186,6693691.07255558,0.000327979389112443,-0.000146904960274696
3331314.89888568,6686319.29509157,331213.926086882,6683512.50052776,331213.926377849,6683512.50022839,0.000290967058390379,-0.000299373641610146
3317757.331446,6697509.18138372,317661.804072119,6694697.74685955,317661.804430232,6694697.74646722,0.000358113611582667,-0.000392326153814793
3324083.88933875,6698287.99011307,323985.797239659,6695476.27032833,323985.79752961,6695476.27009649,0.000289951509330422,-0.00023183599114418
3330248.5665723,6680067.5131656,330148.050177486,6677263.26616282,330148.049868133,6677263.26611061,-0.000309352995827794,-5.22034242749214e-05
3337283.73878689,6692650.4959609,337180.324220705,6689841.14681042,337180.324040539,6689841.1468469,-0.000180165807250887,3.64817678928375e-05
3334686.83808319,6695582.61644803,334584.463458812,6692772.05642695,334584.463774536,6692772.05623259,0.000315723882522434,-0.000194365158677101
3445381.93912188,6967219.12370318,445232.897210711,6964299.55218388,445232.89722726,6964299.55211773,1.6548961866647e-05,-6.61518424749374e-05
3438565.4000813,6960467.8287031,438419.189588786,6957550.94718542,438419.189440712,6957550.94718377,-0.000148074293974787,-1.64937227964401e-06
3462313.32821598,6975867.56871252,462157.333161264,6972944.61263828,462157.33315591,6972944.6126293,-5.3542316891253e-06,-8.98633152246475e-06
3450730.04578569,6960641.47936018,450578.898987562,6957724.61836248,450578.898977849,6957724.6183317,-9.71282133832574e-06,-3.07802110910416e-05
3451745.625071,6962203.76883363,451594.050963897,6959286.28114998,451594.051053577,6959286.28106346,8.9680019300431e-05,-8.6512416601181e-05
3464106.34872181,6978558.13943334,463949.599911085,6975634.10441142,463949.600084106,6975634.1043241,0.000173021049704403,-8.73161479830742e-05
3456818.70880649,6973310.5366515,456664.967754035,6970388.57761152,456664.967888714,6970388.57740226,0.000134678790345788,-0.000209260731935501
3461330.30106543,6976192.76291647,461174.701583979,6973269.66745885,461174.701816954,6973269.66731167,0.000232975522521883,-0.000147180631756783
3455458.02750944,6968881.52106742,455304.881901836,6965961.35001367,455304.881655244,6965961.34995498,-0.000246592157054693,-5.86835667490959e-05
3456939.09383086,6972403.08120784,456785.312853301,6969481.49149292,456785.312859446,6969481.49133951,6.1447499319911e-06,-0.000153406523168087
3373161.14898763,6670511.6957378,373043.312813984,6667711.49227463,373043.31232504,6667711.49233417,-0.000488943769596517,5.95347955822945e-05
3371537.04198639,6658902.52091608,371419.906036685,6656107.00882377,371419.905627428,6656107.0087074,-0.000409256957937032,-0.000116363167762756
3385754.63051916,6679222.27276703,385631.671017201,6676418.59982952,385631.671179656,6676418.59966605,0.000162455078680068,-0.000163479708135128
3373958.9986388,6665723.74630482,373840.857995141,6662925.48421664,373840.857818388,6662925.48423233,-0.000176753208506852,1.569464802742e-05
3358564.92067172,6676782.4297179,358452.960941145,6673979.6234347,358452.96013943,6673979.62333628,-0.000801714370027184,-9.84193757176399e-05
3381463.57650124,6676085.91767624,381342.363336426,6673283.49504908,381342.363258088,6673283.49484455,-7.83388968557119e-05,-0.000204530544579029
3371554.77485889,6654275.02942593,371437.64917229,6651481.39029972,371437.649872618,6651481.39004489,0.000700328033417463,-0.000254832208156586
3360963.7539152,6650820.64102472,360850.922326248,6648028.35293106,360850.921727318,6648028.35280443,-0.000598929706029594,-0.000126635655760765
